Discipline;Employment_2024;Employment_2034;Growth_pct
Civil;368900;387500;5.0
Industrial;351100;389600;11.0
Mechanical;293100;319600;9.0
Engineering Managers;212500;220500;3.8
Electrical;192000;205700;7.1
Engineers, All Other;158800;162100;2.1
Electronics;95900;101800;6.2
Computer Hardware;76800;82400;7.3
Aerospace;71600;75900;6.0
Sales Engineers;56800;59900;5.5
Environmental;39400;41000;4.1
Health & Safety;23800;24900;4.6
Materials;23000;24300;5.7
Biomedical;22200;23300;5.0
Chemical;21600;22100;2.3
Petroleum;19600;19800;1.0
Nuclear;15400;15300;-0.6
Marine;8500;9000;5.9
Mining;7000;7000;0.0
Agricultural;1700;1800;5.9
Above Disciplines;2059700;2193500;6.5
Total US Workforce;169956100;175167900;3.1
